transaction_key,attacker,score,top_address,victim
"('0xbc4a9ab8f316f7653e4abb46c2a71782010f86f090ce3ea020d216b133cb5d8e', 32)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,3,0xcb4b45d5d3ff1910e91116af5c8c4408d0d2a32e,0x240d5645bffaf6f8bc3586e459a4155f270bcb3b
"('0x3c95a9e8b5e6bc114607ea32ae801789079cafe3e9167b2cdef55981303005c3', 64)",0xdfaab828f5f515e104baaba4d8d554da9096f0e4,3,0xdfaea6f06db51c47518f23c0054fc3a261954325,0xee857ea94434b6d6867e0abe328fe245a7eac527
"('0xcaa972b2277daf44666043bb93abf24982aead4897d79461dbf556eb0124494b', 97)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,3,0xcb4b45d5d3ff1910e91116af5c8c4408d0d2a32e,0x240d5645bffaf6f8bc3586e459a4155f270bcb3b
"('0xc6ce2766b94080e49023dbb75f19f7af44f3f1f1bc86fdf022d2a4eb271df10b', 28)",0x19e2379303c96239e236ad800c940461fcce19b7,3,0x19eb5a3f49d8cf368f99d3c2d8e65d0973c8b960,0x19eb5a3f49d8cf368f99d3c2d8e65d0973c8b960
"('0xfca396e62ff5c250b55bec17bd12aaeb3b0e480a694f7d52926f94bc70e52e79', 43)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,6,0x943a45cc20469805c50c5575cfe0e8508dd58094,0x943a45cc20469805c50c5575cfe0e8508dd58094
"('0xd8bcb99fd64f3bcb5ce622e5635f5f4022de2c7d97e4fa4bfaaae43ecfa3ad78', 44)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,3,0x943e9ab95f0f04bff29e1c19204a2d5d2634a8bc,0x943e9ab95f0f04bff29e1c19204a2d5d2634a8bc
"('0x0a3e4833726804f6f389e2c3b569fe5f6ec54092b87f4d01cf18e1a9305b9611', 19)",0x2c13083af23909c5dd7d4fdef29451b95931457d,3,0x2c1812fb2904f2247c659eb994cf0f4d70ac2503,0x2c1812fb2904f2247c659eb994cf0f4d70ac2503
"('0x7b0f841f9ed262a3409a0fa2ad321ff20cd9d700501ceab688709ecc7ca550c9', 64)",0x60fd38f02c911aa1e3cbfdc5652f30927f0f3f77,3,0x60f71e9e3b79e2119352f50f6d31ca6d768b2cf8,0x7cf68aa037c67b6dae9814745345ffa9fc7075b1
"('0xdbee7220fa20839eb1f7c44a7e3d5be8b1a43213a1e4d552c2c3051e700e3a29', 2)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,3,0xcb4b45d5d3ff1910e91116af5c8c4408d0d2a32e,0x240d5645bffaf6f8bc3586e459a4155f270bcb3b
"('0x66da19d39b17c0d1574c051b18ed2822ac14814e8b1bc1f948d1f0f125838ea6', 539)",0x268eb96089dcf30a245c3bfe502ffc54800d1de0,3,0x268d36650007d0e26dda08eab9bbcccc5ebf102a,0xf5e67261cb357edb6c7719fefafaab280cb5e2a6
"('0x6c32369f6becec9048294692df4043c24b22105e235de25236b20954236e7e13', 33)",0x74053ad2019c1862787507e31b76ae141cf772b6,4,0x740fdaebe1ca29afaab03fe6bc89e8aa14735ce6,0x3ae63fb198652e294b8de4c2ef659d95d5ff28be
"('0x30ed603cc9c0a9ca54434147ffea61b78567f0189ec6d200951bc40a600ee19a', 57)",0xfb11a83579b7f878334d7d5369a47f73b6b5c7ec,3,0xfb1b2f494df798c9736876d38c6b8c20a19b7430,0xe58f0614728e4220cbc592db8e44c11720cabbaa
"('0x5e53cb9c6222e7768810148c9bf8d99bd2e648f5684943d52384e647c8d2e6af', 49)",0xb4715fb68b1b41e7469425a8efb1a1f1c9dee1f0,3,0xb47581929930e0830ba27b0a72a538cf2c51cb14,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c
"('0xfdacf5aae660511aca21e3344fa3140cd3ae90ad24dfe478ad8ea6d589f83e1b', 6)",0x3f1f1d7bcf81ea4416419d87d671a0a741fcd5be,3,0x3f199f9ae3d703f43b056deea79ef123229c3c79,0x26767c724203a6aefad951cdab8a88f90fba7435
"('0x58920e3a866288f459054929dc13a2907d9569cfb8a0a21f4eea55d79b8926cd', 15)",0x23612a761c280a74b83455d821c9880335421581,3,0x2363f9e9c4f5fbde03c53674c1e588c4d35239e4,0x3f95ef3f2eaca871858dbe20a93c01daf6c2e923
"('0xe723b0dec7b05fbdf2ddefa8d1847486ca2211225510a65fc91883083acac08b', 104)",0xdba5b042e602d40e9385e6efcf3d3fdccdfbba62,3,0xdba603522e0362fcf1e9c8ba33d834fd3355ad7c,0x0a976e1e7d3052beb46085acbe1e0daccf4a19cf
"('0x6c705ad4ecd69d507d834d7fd67045a449bf97b38b77492701fc7379b7515de3', 108)",0x6219f06135b79705d34f5261852e9f6b98821e1f,3,0x621425a1ef6abe91058e9712575dcc4258f8d091,0x7683923e080e6cb34c5c896cadff99f3aaf56920
"('0xbc4d679d8d91ccb8287d9139c15a33a9cfe752049f75ea65413834dc2143290c', 55)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,3,0x9434f4bea9898139cb490c08dde0f3327cf4d840,0x5aea5775959fbc2557cc8789bc1bf90a239d9a91
"('0x51b41ad9fc20a828fd6bff0c0c9086878203ff2aed3ca7d242fac4bb2b21f778', 31)",0xc8503703cebc365c31851a17a8694492a404d181,3,0xc858678aa0c1b263ac6282623439201a84928765,0x7c21e2e777cecaf969bf7b7aef0e3bf23d043672
"('0x3d7542f00341debb271998a7a318202fad496259fba84fb295483b45539bb468', 46)",0xdfaab828f5f515e104baaba4d8d554da9096f0e4,4,0xdfaa23281ef80c3ef2019b859766be26bebc8183,0xee857ea94434b6d6867e0abe328fe245a7eac527
"('0x348d4a157e58e8ee6d123b90ef9e6fd0c38b385a8db9e2a3ca0ba6c4a3ef4785', 28)",0x483fde31bce3dcc168e23a870831b50ce2ccd1f1,3,0x483d677f9c87a334f21ca25f95f8902fce7779d2,0x483d677f9c87a334f21ca25f95f8902fce7779d2
"('0xd77812292d47b1947e4f20a1e47aa2daed1fe0f5d75f1ed97c05d510c07d3384', 143)",0x2c13083af23909c5dd7d4fdef29451b95931457d,3,0x2c111b9cfe61b9166f198ca2fd549f2101f190e5,0x2c111b9cfe61b9166f198ca2fd549f2101f190e5
"('0x01081bcbd0d049439146b2c450bcd60180d33af3114849665907214d2fa17106', 35)",0x39e098a153ad69834a9dac32f0fca92066ad03f4,3,0x39e151b66a9a53c2fc1455ce6df502c5a5ff9248,0x39e151b66a9a53c2fc1455ce6df502c5a5ff9248
"('0x521b7efead7af3b90a8db0a9c114185caf01d9ad939b72f23336f8e76676e2bd', 47)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,3,0x9435bc07f3daae0b794ca47ca13ac9a65645b08b,0x6461a252721a635d429d9cec1733e66868280b48
"('0x9e223993e8660840b6ab81becaca02e3333bdcc79aaafaadb63c823e9ecd4a24', 34)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,3,0xcb4b45d5d3ff1910e91116af5c8c4408d0d2a32e,0x240d5645bffaf6f8bc3586e459a4155f270bcb3b
"('0x2ad08c850c6ea61c7294af228774847ed675173a13af1a03802f67d3566e4007', 22)",0x03fc98bea2ada2d1126690da89ea0d86619304a1,3,0x03f45e643ad74a843f47bc3cc8472c205d6a3096,0x4bba932e9792a2b917d47830c93a9bc79320e4f7
"('0x9c2edbcd9c548565583ba552974ad69a5b49cfea82377d4fa34545c3b8e662dc', 2)",0x376e0ea5a95b05a9593fe51603d91f6832e6148b,3,0x376dda1bb8f7ae6b660e0984c5be6c910b9aae99,0x3d0c29c27c8b9b3824853c2aecf1cf9617734a0b
"('0xfedf405533801b306916fdf1e8ebfc3c2b246a7a6f8bebedd88f992f085bbfa7', 122)",0x943ac2310d9bc703d6ab5e5e76876e212100f894,3,0x943139170120aa04eb1a3dcc4a3678519892330b,0x943139170120aa04eb1a3dcc4a3678519892330b
"('0x1522500e053ae18742acabe90b0e72132e4ba161e797ef3648ff39f91f5fa15a', 25)",0x60fd38f02c911aa1e3cbfdc5652f30927f0f3f77,3,0x60f9a7bb94b5c995762ea7509dd15a57d1d022b0,0x7cf68aa037c67b6dae9814745345ffa9fc7075b1
"('0x2a211c60572c5e3ee6fd95b1016c61f092dc86a475a9f1f58d8c7284ec8bb98d', 15)",0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,3,0x9608fa3e6577cad5ac5ee78dce00faf92794a31a,0x9608fa3e6577cad5ac5ee78dce00faf92794a31a
"('0xbd785cc9c21af15b41ec96d6f3e747b60f394c976cb1a9ccfe4e26445fff27f8', 16)",0x6219f06135b79705d34f5261852e9f6b98821e1f,3,0x621425a1ef6abe91058e9712575dcc4258f8d091,0xe2812a5e9d00787715b57a810cb252cbe4e92676
"('0x278d46816463118e5ac63b128af239e4eda054f8ed062c65254d0f55e6d8ef0c', 29)",0x2c13083af23909c5dd7d4fdef29451b95931457d,3,0x2c1812fb2904f2247c659eb994cf0f4d70ac2503,0x2c1812fb2904f2247c659eb994cf0f4d70ac2503
"('0xfeab2d7b66b186077560f4381eae8409bfc2d82262deaa7d6f17426e29405ea0', 83)",0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,3,0xbe790ae650350745db9ec456b37f4810f57719dc,0xbe790ae650350745db9ec456b37f4810f57719dc
"('0x41b23ff1bf26c0fa1a7d63acb6f2c854dcea05b54e210a4a7cb821822d29020d', 21)",0x8b791913eb07c32779a16750e3868aa8495f5964,3,0x8b7f9116119e6a48f05eac8a7c4b6b70e7e08990,0x5aea5775959fbc2557cc8789bc1bf90a239d9a91
"('0x631cbbb314778fd62b2657e850c43ef647bdb68ad26b6f22f37a745cc5e9eb83', 2)",0x8b791913eb07c32779a16750e3868aa8495f5964,3,0x8b7e6356d3d4709df60d23eecef5093942650c7b,0x5aea5775959fbc2557cc8789bc1bf90a239d9a91
"('0x325c86c71b98d8f7683991d9999088818775d55d329b3ee886f9a693cc59b003', 63)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,3,0xcb4b45d5d3ff1910e91116af5c8c4408d0d2a32e,0x240d5645bffaf6f8bc3586e459a4155f270bcb3b
"('0x51ce8c7eb4e20cc51b1bacf1c1bbfbc1ef45fb79f43986d788182a62e71f9df4', 49)",0x985104334dd9f3da4ebc6fefd0453a75e5bd83fd,3,0x9850c4eb6fca2ea932518dcd8dd522c022d75431,0x64848eefbc2921102a153b08fa64536ae1f8e937
"('0x123548be13428af1ddde563a5c623f979644cbd78996f3696543c813a4e2419f', 19)",0x23612a761c280a74b83455d821c9880335421581,3,0x236e8ea714aa840d0a6dccbd860dfee781f34c4f,0x3f95ef3f2eaca871858dbe20a93c01daf6c2e923
"('0x9360d6b68b3a59d4ca7d5ef27ff77bd4e5a96ba08ca20c76e6dcc095af9676fc', 173)",0xbe1d255444d89c0a9069ba040acd7cfc0bdcd3ba,3,0xbe1f97ade85384a04b6dd344c476c3f6248c5a14,0xcb5dc30b7824a6378a5f5c2921e58809c5c0f5d5
"('0x696888573331d3f941f7e094cd3de8436c2430f6cb6a3e6704cd9ece5a5b809d', 19)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,3,0xcb4ce371af010a94e55872ca5bb16ffc60b96306,0x240d5645bffaf6f8bc3586e459a4155f270bcb3b
"('0xc954a873ad42aac8f9c1cac3bba917ce26f3f153252665fb6c32b7b2de5a94f1', 72)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,3,0xcb4b45d5d3ff1910e91116af5c8c4408d0d2a32e,0x240d5645bffaf6f8bc3586e459a4155f270bcb3b
"('0x14cf41933f9433363e1ef5e5d3ea5ee52d847288c2aaeeaadd10663f02c5d272', 139)",0xb9061e38fee7d30134f56aef7117e2f6d1580666,3,0xb90c3fb09e7731d079fdfbaa2ac7b7da93d3a6e9,0xdf3e4da3ee75f1018d277222967ce3d69f3271d9
"('0xb5834e3791151909f2df17d890bca3339b8ce6c25e4ff21673b507c1c563af02', 99)",0xcb4dc6d8386ef8a52a5e02bcfa8c7faf889393b7,3,0xcb4608e5cac7ffa0304ca90ddd94d8518d95450c,0x240d5645bffaf6f8bc3586e459a4155f270bcb3b
"('0x4ea65d1ce506422c3f925d847ef2dee25fdf9e4604986bbb1a02d423b920a621', 36)",0x6219f06135b79705d34f5261852e9f6b98821e1f,3,0x621425a1ef6abe91058e9712575dcc4258f8d091,0x1e718c0be3119b38186d188804d12b6874665ad7
"('0x837821a1d6819c9af9801247abee8aad777cf2e47d096b62dd78749223eb61ae', 688)",0x3251b9546b58bbec951f650c78f861d5257c5813,3,0x32584c7dde0995a5aefed1cf738ee90f6af6534b,0x7c65e6ec6feceb333092e6fe69672a3475c591fb
"('0x85a678b9bb3dfd5acf3dcad94909cfa2720e92c7db81cdc44c38620f282e9fcf', 75)",0xbc87d7ee000e84f67ece3d40d643e8e0eb35968b,3,0xbc85106a9373974c8f782dfe69ed2a6ade9c28aa,0x0c08f298a75a090dc4c0bb4caa4204b8b9d156c1
