transaction_key,attacker,score,top_address,victim
"('0x179814344cad200c00fa14df7f7075c5a5f8dbedefe2d1d29bb8e1316df3b742', 140)",0xe4622a57ab8f4168b80015bba28fa70fb64fa246,4,0xe46c121b129eb1bb34f3ceaf5b49ee3a8e317216,0xe46c121b129eb1bb34f3ceaf5b49ee3a8e317216
"('0x22a424bb7a5ae94d0f4c16f26babe6639fcce0fb1ecb4497b3abdd709759c900', 48)",0xb6f9e4c6db0c4f3a7e8aff01077e601a7626409b,3,0xb6f713f0f7f3cfc9d99d4e4cad806c420a41e85c,0x7b4872e2096ec9410b6b8c8b7d039589e6ee8022
"('0x385f91df67da31fe6b357e6f12b1a3e58780b3022f123c504ef86ef199300b27', 78)",0x60fd38f02c911aa1e3cbfdc5652f30927f0f3f77,3,0x60f58b828167248150c43626ea7f8ea790887498,0x7b4872e2096ec9410b6b8c8b7d039589e6ee8022
"('0x2047911cb3b72465968b35cbeddf8601320c5f99df253b9c5ad556cf5a331462', 43)",0x60fd38f02c911aa1e3cbfdc5652f30927f0f3f77,3,0x60f58b828167248150c43626ea7f8ea790887498,0x7b4872e2096ec9410b6b8c8b7d039589e6ee8022
"('0x67522df7d9dddc995c353eb28b95d7773609c0366b44c92d7d2b76c637be0ca3', 37)",0x60fd38f02c911aa1e3cbfdc5652f30927f0f3f77,3,0x60fbb8ad0568c12608c2e19b06e888d684d09569,0x7b4872e2096ec9410b6b8c8b7d039589e6ee8022
"('0xe42317ef835c26f5d2a41e69ff84b87ec9d37b5949f1825412b567c7ec4fd89d', 87)",0x3c34de76ec06d7764dd62967f634e5f531a409d7,3,0x3c32d554ae0cbf7e7f7550801020c38c06ba8b8b,0x9d2811b85c1d736427722817b69e4d1e98016bb0
"('0x225e4799b20c4ff7357a93beeacada6f11607dad2ca3890c1bcc17669a73a27b', 87)",0x756e8b17992e37d0f9df413cd7a7e3af4c79a8ee,3,0x7560893f637b4e2eedd30eadb84150ee4a2c2c2f,0xc5db68f30d21cbe0c9eac7be5ea83468d69297e6
"('0xe573914c6cf8458934262dd3429196fddebbfb4a99b74c76525231f919da8de1', 14)",0x1c5f0998d5ad15275d54a9fdbfaa7bf0e856102c,3,0x1c508770be4fe274cb0caa51497e9c30b1a22f7a,0xc5db68f30d21cbe0c9eac7be5ea83468d69297e6
"('0x572ef74ce96b61aee4292711b526d14297a7481d92c6e7537f8743c95ec52f2f', 89)",0xb79fcaedd584bc803351218984b73b511c0d5df0,3,0xb79bb2e8db8484767f8f6297819237ac090b004c,0x04e9db37d8ea0760072e1ace3f2a219988fdac29
"('0x8d46d4b5700174fe89c47abb61723bb4c5474976b6f2a2c99cec73ec43f5bfae', 100)",0xc5a8ce04214722beb1279eac3c9c963bff5e770e,3,0xc5a0bc5e85e05338f67e1d2fd0dbb93fe8719759,0x4992eb45172868f0d8cceb91190e159bdf571461
"('0x0cbb45eef29bd063ac5897043d0afb58fc41b9025314c4505183fe603dfb583e', 324)",0xfd505702b37ae9b626952eb2dd736d9045876417,3,0xfd5daae0bf1d9742cb4f3af7a78e97d75f2b30c3,0x42ed123eb5266a5b8e2b54b2c76180ccf5e72fee
"('0x2d3dcb3c92ac2235652759bbc19dad5e0e9f32f9ffb341163928e1926f6df39c', 48)",0x1234561fed41dd2d867a038bbdb857f291864225,5,0x12345206bb098b4e4b899732a6221d39e8721fb9,0x47c71c0d61e51122e03a698cdadfa282f8492a8b
"('0x2fff7e991db71269adabc74922808f1e5978bc692553e156200cd8b26da9ee4a', 11)",0x60fd38f02c911aa1e3cbfdc5652f30927f0f3f77,3,0x60f58b828167248150c43626ea7f8ea790887498,0x7b4872e2096ec9410b6b8c8b7d039589e6ee8022
"('0x5911f14a06d33b5c7b6c4fb40e8bab84e942e3efca5ac870198d7d93e0facdaf', 9)",0x30ae23a8a3d9cbc01530dcbe7bf816258977b8ca,3,0x30a6557d2caff94fb991d5ae55e5235e581f6f94,0xc5db68f30d21cbe0c9eac7be5ea83468d69297e6
"('0x86c88f32c8414dad4619801bd0e956217fb556365631a76c87f7ae9a2fe283ba', 27)",0xb3737e47a4648111e42caeea33856e4da9d73ec0,3,0xb376fceacd9fef24a342645cbf72a4c439ea0614,0xb376fceacd9fef24a342645cbf72a4c439ea0614
"('0x9f8c0d6bacf4fde063a7ba79653b0a9720036eb29196407a00b089816895d8ed', 30)",0xfd505702b37ae9b626952eb2dd736d9045876417,5,0xfd506465f1b2ae145b208d61c49d014d23c05f77,0x42ed123eb5266a5b8e2b54b2c76180ccf5e72fee
