address,name,symbol,decimals
0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,GMX,GMX,18
0x6fe14d3cc2f7bddffba5cdb3bbe7467dd81ea101,COTI Token,COTI,18
0x079504b86d38119f859c4194765029f692b7b7aa,Lyra Token,LYRA,18
0x0fbcbaea96ce0cf7ee00a8c19c3ab6f5dc8e1921,Wrapped liquid staked Ether 2.0,wstETH,18
0x5979D7b546E38E414F7E9822514be443A4800529,Wrapped liquid staked Ether 2.0,wstETH,18
0x61e030a56d33e8260fdd81f03b162a79fe3449cd,Fluid,FLUID,18
0x876ec6be52486eeec06bc06434f3e629d695c6ba,FluidFi,FLUID,18
0x319f865b287fcc10b30d8ce6144e8b6d1b476999,Cartesi Token,CTSI,18
0x080f6aed32fc474dd5717105dba5ea57268f46eb,Synapse,SYN,18
0x0c4681e6c0235179ec3d4f4fc4df3d14fdd96017,Radiant,RDNT,18
0x3082CC23568eA640225c2467653dB90e9250AaA0,Radiant,RDNT,18
0x23ee2343b892b1bb63503a4fabc840e0e2c6810f,Axelar,AXL,6
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USD₮0,USD₮0,6
0x2416092f143378750bb29b79ed961ab195cceea5,Renzo Restaked ETH,ezETH,18
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,Wrapped Ether,WETH,18
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USD Coin (Arb1),USDC,6
0xebe517846d0f36eced99c735cbf6131e1feb775d,Aave Arbitrum GHO,aArbGHO,18
0x289ba1701c2f088cf0faf8b3705246331cb8a839,Livepeer Token,LPT,18
0xa6525ae43edcd03dc08e775774dcabd3bb925872,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,6
0xd693ec944a85eeca4247ec1c3b130dca9b0c3b22,UMA Voting Token v1,UMA,18
0xaf88d065e77c8cc2239327c5edb3a432268e5831,USD Coin,USDC,6
0x58538e6a46e07434d7e7375bc268d3cb839c0133,ENA,ENA,18
0x2ad62674a64e698c24831faf824973c360430140,UniBright,UBT,8
0x3a8b787f78d775aecfeea15706d4221b40f345ab,CelerToken,CELR,18
0x088cd8f5ef3652623c22d48b1605dcfe860cd704,VelaToken,VELA,18
0xfea7a6a0b346362bf88a9e4a88416b77a57d6c2a,Magic Internet Money,MIM,18
0xe4d5c6ae46adfaf04313081e8c0052a30b6dd724,Pyth Network,PYTH,6
0x11cdb42b0eb46d95f990bedd4695a6e3fa034978,Curve DAO Token,CRV,18
0x82e3a8f066a6989666b031d916c43672085b1582,yearn.finance,YFI,18
0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,Coinbase Wrapped BTC,cbBTC,8
0xd4d42f0b6def4ce0383636770ef773390d85c61a,SushiToken,SUSHI,18
0x6694340fc020c5e6b96567843da2df01b2ce1eb6,StargateToken,STG,18
