address,name,symbol,decimals
0x9046d36440290ffde54fe0dd84db8b1cfee9107b,yearn.finance,YFI,18
0x9b88d293b7a791e40d36a39765ffd5a1b9b5c349,Celo native asset,CELO,18
0x50c5725949a6f0c72e6c4a641f24049a917db0cb,Lyra Token,LYRA,18
0x217d47011b23bb961eb6d93ca9945b7501a5bb11,Thales DAO Token,THALES,18
0x048c6bad48c51436764ed1fdb3c9d1c25d2c0ada,Bolide,BLID,18
0xb548f63d4405466b36c0c0ac3318a22fdcec711a,Rari Governance Token,RGT,18
0xc5db22719a06418028a40a9b5e9a7c02959d0d08,Synth sLINK,sLINK,18
0xee9801669c6138e84bd50deb500827b776777d28,O3 Swap Token,O3,18
0x1da650c3b2daa8aa9ff6f661d4156ce24d08a062,Dentacoin,DCN,0
0xb12c13e66ade1f72f71834f2fc5082db8c091358,ROOBEE,ROOBEE,18
0x0c5b4c92c948691eebf185c17eeb9c230dc019e9,PickleToken,PICKLE,18
0x117cfd9060525452db4a34d51c0b3b7599087f05,Geyser,GYSR,18
0x00a35fd824c717879bf370e70ac6868b95870dfb,IronBank,IB,18
0xc22885e06cd8507c5c74a948c59af853aed1ea5c,Decentralized USD,USDD,18
0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,Synth sUSD,sUSD,18
0x4e720dd3ac5cfe1e1fbde4935f386bb1c66f4642,beefy.finance,BIFI,18
